date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:56:46	697/697	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jan%202024%2016:56:45%20GMT	https://valhal.la/robots.txt		(from )
11:56:46	3271/3271	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2016:56:45%20GMT	https://valhal.la/	C:/My%20Web%20Sites/valhalla/valhal.la/index.html	(from )
11:56:46	1270424/1270424	---M--	200	added ('OK')	font/woff	etag:%2226e3afb2bf32462b5e01ec5b72614531%22	https://valhal.la/WOFF/FreeSerif-YO4a.woff	C:/My%20Web%20Sites/valhalla/valhal.la/WOFF/FreeSerif-YO4a.woff	(from https://valhal.la/)
11:56:46	313828/313828	---M--	200	added ('OK')	font/woff	etag:%2276939806c53ec5b05996ebb24356ae27%22	https://valhal.la/WOFF/jackeyfont.woff	C:/My%20Web%20Sites/valhalla/valhal.la/WOFF/jackeyfont.woff	(from https://valhal.la/)
11:56:46	5001/5001	---MCZ	200	added ('OK')	text/css	etag:W/%2229df4940deb755243d87a1b2d4901594%22	https://valhal.la/index.css	C:/My%20Web%20Sites/valhalla/valhal.la/index.css	(from https://valhal.la/)
11:56:46	432/432	---MCZ	200	added ('OK')	text/css	etag:W/%22f76ae3330512e2807ddac9a5c610282c%22	https://valhal.la/crt.css	C:/My%20Web%20Sites/valhalla/valhal.la/crt.css	(from https://valhal.la/)
11:56:47	1758/1758	---MCZ	200	added ('OK')	text/css	etag:W/%2274831d81a48be1b4e975b1170869f35a%22	https://valhal.la/loading.css	C:/My%20Web%20Sites/valhalla/valhal.la/loading.css	(from https://valhal.la/)
11:56:47	1398/1398	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Jan%202024%2016:56:47%20GMT	https://valhal.la/favicon.html	C:/My%20Web%20Sites/valhalla/valhal.la/favicon.html	(from https://valhal.la/)
11:56:47	2489517/2489517	---M--	200	added ('OK')	image/gif	etag:%225c43b01251a93b3eaa080f2e62e13c91%22	https://valhal.la/images/cock.gif	C:/My%20Web%20Sites/valhalla/valhal.la/images/cock.gif	(from https://valhal.la/)
11:56:47	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2030%20Jan%202024%2016:56:47%20GMT	https://valhal.la/desktop.html	C:/My%20Web%20Sites/valhalla/valhal.la/desktop.html	(from https://valhal.la/)
11:56:48	11630/11630	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2016:56:47%20GMT	https://valhal.la/desktop	C:/My%20Web%20Sites/valhalla/valhal.la/desktop.html	(from https://valhal.la/)
11:56:48	644/644	---M--	200	added ('OK')	image/apng	etag:%22c776d8a9307091a6d8d914c0adea5ca1%22	https://valhal.la/pixel.apng	C:/My%20Web%20Sites/valhalla/valhal.la/pixel.apng	(from https://valhal.la/crt.css)
11:56:48	6427/6427	---MCZ	200	added ('OK')	text/css	etag:W/%225289fc5d9c5288e21a7331e685254daa%22	https://valhal.la/desktop.css	C:/My%20Web%20Sites/valhalla/valhal.la/desktop.css	(from https://valhal.la/desktop)
11:56:49	72/72	---MCZ	302	error ('Found')	text/html	date:Tue,%2030%20Jan%202024%2016:56:48%20GMT	https://unpkg.com/98.css	C:/My%20Web%20Sites/valhalla/unpkg.com/98.b.delayed	(from https://valhal.la/desktop)
11:56:49	500725/500725	---MCZ	200	added ('OK')	text/css	etag:W/%228778597c9649abf1e2a16417de22d486%22	https://site-assets.fontawesome.com/releases/v6.2.0/css/all.css	C:/My%20Web%20Sites/valhalla/site-assets.fontawesome.com/releases/v6.2.0/css/all.css	(from https://valhal.la/desktop)
11:56:49	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/My%20Web%20Sites/valhalla/code.jquery.com/jquery-3.6.0.min.js	(from https://valhal.la/desktop)
11:56:49	35973/35973	---M-Z	200	added ('OK')	text/css	etag:W/%2228feccc0-8c85%22	https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css	C:/My%20Web%20Sites/valhalla/code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css	(from https://valhal.la/desktop)
11:56:50	253668/253668	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-3dee4%22	https://code.jquery.com/ui/1.12.1/jquery-ui.min.js	C:/My%20Web%20Sites/valhalla/code.jquery.com/ui/1.12.1/jquery-ui.min.js	(from https://valhal.la/desktop)
11:56:50	2836/2836	---MCZ	200	added ('OK')	application/javascript	etag:W/%2293516981f0a4c039e034e2abfc4b6b68%22	https://valhal.la/index.js	C:/My%20Web%20Sites/valhalla/valhal.la/index.js	(from https://valhal.la/desktop)
11:56:50	3171/3171	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22445955e87ee7a960f9a255303103bfe8%22	https://valhal.la/audio.js	C:/My%20Web%20Sites/valhalla/valhal.la/audio.js	(from https://valhal.la/desktop)
11:56:50	349661/349661	---M--	200	added ('OK')	image/png	etag:%226091aeb4eaca90acfad783a6ede98073%22	https://valhal.la/Members/nov.png	C:/My%20Web%20Sites/valhalla/valhal.la/Members/nov.png	(from https://valhal.la/desktop)
11:56:50	150145/150145	---M--	200	added ('OK')	image/png	etag:%220e160cf538bd18ba5926a2107cffbec3%22	https://valhal.la/Members/reiko.png	C:/My%20Web%20Sites/valhalla/valhal.la/Members/reiko.png	(from https://valhal.la/desktop)
11:56:51	41401/41401	---M--	200	added ('OK')	image/png	etag:%225180e90d9b90d3878baf0e101eda95ef%22	https://valhal.la/Members/harmless.png	C:/My%20Web%20Sites/valhalla/valhal.la/Members/harmless.png	(from https://valhal.la/desktop)
11:56:51	281523/281523	---M--	200	added ('OK')	image/png	etag:%22d9ab062c656983653529aeb6687bbaeb%22	https://valhal.la/Members/operator.png	C:/My%20Web%20Sites/valhalla/valhal.la/Members/operator.png	(from https://valhal.la/desktop)
11:56:51	282125/282125	---M--	200	added ('OK')	image/png	etag:%22c7218c3dc632d3eafab198177bf1da87%22	https://valhal.la/Members/convict.png	C:/My%20Web%20Sites/valhalla/valhal.la/Members/convict.png	(from https://valhal.la/desktop)
11:56:51	225640/225640	---M--	200	added ('OK')	image/png	etag:%22be43084d3f493cd6edabf9b98d209285%22	https://valhal.la/Members/hyper.png	C:/My%20Web%20Sites/valhalla/valhal.la/Members/hyper.png	(from https://valhal.la/desktop)
11:56:52	2389400/2389400	---M--	200	added ('OK')	audio/mpeg	etag:%228102b3190eb931b4c7e4f31a5471e3a7%22	https://valhal.la/songs/audio.mp3	C:/My%20Web%20Sites/valhalla/valhal.la/songs/audio.mp3	(from https://valhal.la/desktop)
11:56:53	3765645/3765645	---M--	200	added ('OK')	audio/mpeg	etag:%226bed9172502b9d0509a0a63dd3995a95%22	https://valhal.la/songs/audio2.mp3	C:/My%20Web%20Sites/valhalla/valhal.la/songs/audio2.mp3	(from https://valhal.la/desktop)
11:56:53	2580717/2580717	---M--	200	added ('OK')	audio/mpeg	etag:%222e4d234bb0d3fd1a1c250237aa5d454f%22	https://valhal.la/songs/audio3.mp3	C:/My%20Web%20Sites/valhalla/valhal.la/songs/audio3.mp3	(from https://valhal.la/desktop)
11:56:54	1999026/1999026	---M--	200	added ('OK')	audio/mpeg	etag:%22854baa0a2d1d6c70636e1cffb6ffe87e%22	https://valhal.la/songs/audio4.mp3	C:/My%20Web%20Sites/valhalla/valhal.la/songs/audio4.mp3	(from https://valhal.la/desktop)
11:56:54	308/308	---M--	200	added ('OK')	image/png	etag:%2241376c607a851e3338474d076e098715%22	https://valhal.la/images/sound.png	C:/My%20Web%20Sites/valhalla/valhal.la/images/sound.png	(from https://valhal.la/desktop)
11:56:54	27745/27745	---M--	200	added ('OK')	image/jpeg	etag:%22aea86a98c002ec2f74b47524369512f8%22	https://valhal.la/images/girl.jpg	C:/My%20Web%20Sites/valhalla/valhal.la/images/girl.jpg	(from https://valhal.la/desktop.css)
11:56:54	458/458	---M--	200	added ('OK')	image/png	etag:%22da913e731e0e67905b778daceceb84d5%22	https://win98icons.alexmeub.com/icons/png/windows-0.png	C:/My%20Web%20Sites/valhalla/win98icons.alexmeub.com/icons/png/windows-0.png	(from https://valhal.la/desktop.css)
11:56:55	110541/110541	---M--	200	added ('OK')	image/png	etag:%2277b5b9a2403df1e0f2ca39a4b0745ae8%22	https://valhal.la/images/mobile-girl.png	C:/My%20Web%20Sites/valhalla/valhal.la/images/mobile-girl.png	(from https://valhal.la/desktop.css)
11:56:55	7006/7006	---M--	200	added ('OK')	image/png	etag:%2228feccc0-1b5e%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_444444_256x240.png	C:/My%20Web%20Sites/valhalla/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_444444_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
11:56:55	7001/7001	---M--	200	added ('OK')	image/png	etag:%2228feccc0-1b59%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_555555_256x240.png	C:/My%20Web%20Sites/valhalla/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_555555_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
11:56:55	6313/6313	---M--	200	added ('OK')	image/png	etag:%2228feccc0-18a9%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_ffffff_256x240.png	C:/My%20Web%20Sites/valhalla/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_ffffff_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
11:56:56	4632/4632	---M--	200	added ('OK')	image/png	etag:%2228feccc0-1218%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777620_256x240.png	C:/My%20Web%20Sites/valhalla/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777620_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
11:56:56	4632/4632	---M--	200	added ('OK')	image/png	etag:%2228feccc0-1218%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_cc0000_256x240.png	C:/My%20Web%20Sites/valhalla/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_cc0000_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
11:56:56	7013/7013	---M--	200	added ('OK')	image/png	etag:%2228feccc0-1b65%22	https://code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777777_256x240.png	C:/My%20Web%20Sites/valhalla/code.jquery.com/ui/1.12.1/themes/base/images/ui-icons_777777_256x240.png	(from https://code.jquery.com/ui/1.12.1/themes/base/jquery-ui.css)
